k,pof,lambda_param,max_welfare_cost,fcbc_objective,runtime,group_0_cost,group_1_cost,group_0_distance_cost,group_1_distance_cost,group_0_avg_cost,group_1_avg_cost
6,1.44375,0.5,1.5975664934202312,170.3759498539525,12.36386761799804,1.1547010654965475,1.5975664934202312,2.309337590993095,3.1951329868404623,549.5,1117.1666666666667
6,1.5,0.5,1.1827360586397049,153.64044284691093,12.176710441999605,1.1827360586397049,1.1792484088465387,2.3653651472794097,2.3584968176930774,549.5,1117.1666666666667
7,1.05,0.5,1.0965135977912865,147.2347575159766,14.34559747899766,1.0586615553511576,1.0965135977912865,2.117151120702315,2.193027195582573,471.0,957.5714285714286
7,1.10625,0.5,1.0807714762345666,146.20165493033593,14.197673942020629,1.0807714762345666,1.0630082365947815,2.161433302469133,2.126016473189563,471.0,957.5714285714286
7,1.1625,0.5,1.080945154037208,146.20561558887218,14.175891620019684,1.080945154037208,1.0630237292173508,2.1617218280744157,2.1260474584347016,471.0,957.5714285714286
7,1.21875,0.5,1.0964115882685541,147.23729616671883,13.978418179001892,1.0589686960947209,1.0964115882685541,2.1177932321894417,2.1928231765371082,471.0,957.5714285714286
7,1.275,0.5,1.0796172360694714,146.2015672152581,15.192526624014135,1.0796172360694714,1.0635772483402057,2.159112712138943,2.1271544966804115,471.0,957.5714285714286
7,1.33125,0.5,1.081169837347081,146.2088275027734,15.091650512011256,1.081169837347081,1.062963740083975,2.162250674694162,2.12592748016795,471.0,957.5714285714286
7,1.3875,0.5,1.1236764594787574,149.41081850018625,15.796009241021238,1.1236764594787574,1.1126913708238229,2.247179338957515,2.2253827416476457,471.0,957.5714285714286
7,1.44375,0.5,1.1464372090779638,148.61354634359097,18.987056592974117,1.1464372090779638,1.0837586142173152,2.2927484781559277,2.1675172284346305,471.0,957.5714285714286
7,1.5,0.5,1.0809507651658667,146.20694121810445,32.51965006699902,1.0809507651658667,1.0630342033533342,2.1617967803317333,2.1260684067066684,471.0,957.5714285714286
8,1.05,0.5,1.020828927665162,140.57456270127108,17.146938853984466,1.020828927665162,0.9720999446411697,2.041579535330324,1.9441998892823393,412.125,837.875
8,1.10625,0.5,1.0203705681253226,140.57653220208098,20.292255745007424,1.0203705681253226,0.9723757824438292,2.0406258862506452,1.9447515648876583,412.125,837.875
8,1.1625,0.5,1.0063576559982677,141.14378383904742,24.868406494992087,1.0063576559982677,0.991206358319035,2.0125333419965354,1.98241271663807,412.125,837.875
8,1.21875,0.5,1.0686996161809872,144.0428583389618,29.38529052099329,1.0686996161809872,1.0222008839293693,2.1372961223619744,2.0444017678587385,412.125,837.875
8,1.275,0.5,1.0059866329948242,141.14677030680664,18.93402748601511,1.0059866329948242,0.9914484999782055,2.011804495989648,1.982896999956411,412.125,837.875
8,1.33125,0.5,1.020696796456571,140.57330054872114,21.036080864985703,1.020696796456571,0.9721537258040935,2.041253272913142,1.944307451608187,412.125,837.875
