k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime,alpha,beta
6,1.275,0.5,1.8913530850136189,"{0: 1.8913530850136189, 1: 1.167556607077846}",152.6275584803953,12.166745099995753,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.33125,0.5,1.5927261975487645,"{0: 1.5927261975487645, 1: 1.1787523141617653}",152.5948334917118,12.332721468992531,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.3875,0.5,2.190013158676321,"{0: 2.190013158676321, 1: 1.243611776367039}",158.58991650680238,12.669175159011502,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.44375,0.5,1.5975664934202312,"{0: 1.477368795496525, 1: 1.5975664934202312}",170.3759498539525,12.36386761799804,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.5,0.5,1.717532573639585,"{0: 1.717532573639585, 1: 1.1792484088465387}",153.64044284691093,12.176710441999605,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.05,0.5,1.9185255603511269,"{0: 1.9185255603511269, 1: 1.0965135977912865}",147.2347575159766,14.34559747899766,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.10625,0.5,1.6289666512345429,"{0: 1.6289666512345429, 1: 1.0630082365947815}",146.20165493033593,14.197673942020629,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.1625,0.5,1.923260914037142,"{0: 1.923260914037142, 1: 1.0630237292173508}",146.20561558887218,14.175891620019684,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.21875,0.5,1.7796966160947096,"{0: 1.7796966160947096, 1: 1.0964115882685541}",147.23729616671883,13.978418179001892,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.275,0.5,1.6883563560694475,"{0: 1.6883563560694475, 1: 1.0635772483402057}",146.2015672152581,15.192526624014135,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.33125,0.5,1.526125337347074,"{0: 1.526125337347074, 1: 1.062963740083975}",146.2088275027734,15.091650512011256,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.3875,0.5,1.9914896694786852,"{0: 1.9914896694786852, 1: 1.1126913708238229}",149.41081850018625,15.796009241021238,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.44375,0.5,1.7760742390779098,"{0: 1.7760742390779098, 1: 1.0837586142173152}",148.61354634359097,18.987056592974117,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.5,0.5,1.6046483901658037,"{0: 1.6046483901658037, 1: 1.0630342033533342}",146.20694121810445,32.51965006699902,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.05,0.5,1.412389767665121,"{0: 1.412389767665121, 1: 0.9720999446411697}",140.57456270127108,17.146938853984466,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.10625,0.5,1.596562943125309,"{0: 1.596562943125309, 1: 0.9723757824438292}",140.57653220208098,20.292255745007424,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.1625,0.5,1.9161166709982094,"{0: 1.9161166709982094, 1: 0.991206358319035}",141.14378383904742,24.868406494992087,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.21875,0.5,1.5841980611809714,"{0: 1.5841980611809714, 1: 1.0222008839293693}",144.0428583389618,29.38529052099329,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.275,0.5,1.8497522479947919,"{0: 1.8497522479947919, 1: 0.9914484999782055}",141.14677030680664,18.93402748601511,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.33125,0.5,1.7222266364565475,"{0: 1.7222266364565475, 1: 0.9721537258040935}",140.57330054872114,21.036080864985703,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.3875,0.5,1.4008408327906705,"{0: 1.4008408327906705, 1: 1.004812930055047}",143.7964568897832,17.460848360002274,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.44375,0.5,1.6863457048472004,"{0: 1.6863457048472004, 1: 1.007076697529507}",142.04007235790843,17.812514160992578,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.5,0.5,2.1501325444170916,"{0: 2.1501325444170916, 1: 0.9721272198334655}",140.55341145428747,18.45559462098754,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.05,0.5,1.4939219182731844,"{0: 1.4939219182731844, 1: 0.9214212352982946}",137.02252016744598,19.470009564014617,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.10625,0.5,2.215359212090864,"{0: 2.215359212090864, 1: 0.9321044250602363}",138.52659962937696,17.533562403987162,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.1625,0.5,1.931749413783134,"{0: 1.931749413783134, 1: 0.9395885968504211}",137.9029796160008,17.833155580970924,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.21875,0.5,1.8093011030087196,"{0: 1.8093011030087196, 1: 0.9214071943910985}",137.02012436127671,18.03670603100909,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.275,0.5,1.8358618855487818,"{0: 1.8358618855487818, 1: 0.9553849180590391}",138.29276112766578,18.040705990977585,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.33125,0.5,1.6396868624184815,"{0: 1.6396868624184815, 1: 0.946913555081336}",138.7937049457648,17.577744296984747,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.3875,0.5,1.6944727551802792,"{0: 1.6944727551802792, 1: 0.9254295045393893}",137.47530822668438,17.707761041005142,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.44375,0.5,1.696875683811751,"{0: 1.696875683811751, 1: 0.9215784799469182}",137.02188070241888,17.824941141007002,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.5,0.5,1.645056757837101,"{0: 1.645056757837101, 1: 0.9070819724021432}",135.7105849451256,17.64396037097322,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.05,0.5,2.209091009239109,"{0: 2.209091009239109, 1: 0.8607014389102184}",132.67265234845289,20.01627484400524,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.10625,0.5,1.9142660467335042,"{0: 1.9142660467335042, 1: 0.8802935225445068}",134.38011151576126,20.139636365987823,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.1625,0.5,1.7392452912889342,"{0: 1.7392452912889342, 1: 0.859233340431586}",132.26622166046664,19.307034827012103,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.21875,0.5,1.5470188685245112,"{0: 1.5470188685245112, 1: 0.8908060146766503}",135.49721317814647,19.581021720019635,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.275,0.5,2.209667614503637,"{0: 2.209667614503637, 1: 0.8590509373096386}",132.2625191658502,19.975985682976894,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.33125,0.5,1.9894219786361216,"{0: 1.9894219786361216, 1: 0.8853836903178268}",134.07688224936908,19.35593760799384,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.3875,0.5,2.6600910943944083,"{0: 2.6600910943944083, 1: 0.8843309957447649}",134.08865273307444,20.34398979501566,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.44375,0.5,2.2095702399943855,"{0: 2.2095702399943855, 1: 0.8855801397598089}",134.0657548783861,20.11482385295676,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.5,0.5,2.0771020709730923,"{0: 2.0771020709730923, 1: 0.8579371973896707}",132.32536606329128,19.674571649055,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.05,0.5,1.8183724147806646,"{0: 1.8183724147806646, 1: 0.8207656985302887}",129.76053904625738,25.59891245997278,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.10625,0.5,2.0492438765002854,"{0: 2.0492438765002854, 1: 0.8409007548771825}",131.90505921868254,21.879129427019507,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.1625,0.5,1.9798789306379456,"{0: 1.9798789306379456, 1: 0.8116202162362441}",129.00411133571464,21.7796313809813,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.21875,0.5,2.070159860953785,"{0: 2.070159860953785, 1: 0.8120539201777629}",128.95331600048092,25.461592261039183,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.275,0.5,2.1042664542851157,"{0: 2.1042664542851157, 1: 0.811585900975013}",129.00200855764336,21.57554995099781,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.33125,0.5,2.320594286125143,"{0: 2.320594286125143, 1: 0.8121866448481726}",128.94191392494224,21.381506433011964,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.3875,0.5,1.809459172304242,"{0: 1.809459172304242, 1: 0.8118433774538899}",128.9500187617575,21.49300417804625,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.44375,0.5,2.3213155241159193,"{0: 2.3213155241159193, 1: 0.8330415768221677}",130.79806649177146,21.609044855984397,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.5,0.5,1.9799711473359272,"{0: 1.9799711473359272, 1: 0.815365091934567}",129.23530153068418,24.60505724500399,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.05,0.5,2.296789615697292,"{0: 2.296789615697292, 1: 0.7729818794302435}",126.2742617189422,24.30893418501364,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.10625,0.5,2.648888679664369,"{0: 2.648888679664369, 1: 0.7783821156982774}",126.92469824919029,23.18319152999902,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.1625,0.5,2.3280571288348186,"{0: 2.3280571288348186, 1: 0.7849246190035057}",127.07703618445704,23.952123423980083,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.21875,0.5,2.2281895984528495,"{0: 2.2281895984528495, 1: 0.7889691804386935}",127.14979253502644,23.111323112039827,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.275,0.5,2.6000510438092306,"{0: 2.6000510438092306, 1: 0.7751391216414689}",126.29897271034989,23.397265058010817,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.33125,0.5,2.6574939740916284,"{0: 2.6574939740916284, 1: 0.7854981027315838}",127.09787469736844,24.173588900011964,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.3875,0.5,2.0411986647723515,"{0: 2.0411986647723515, 1: 0.791879503904943}",127.3189089607376,23.428929384972434,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.44375,0.5,2.101164762471633,"{0: 2.101164762471633, 1: 0.778492270234711}",126.9376851171778,23.680116854025982,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.5,0.5,2.3220877917134963,"{0: 2.3220877917134963, 1: 0.7851854975361291}",127.08253893724093,23.658730852999724,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.05,0.5,1.9373448221362337,"{0: 1.9373448221362337, 1: 0.7447800970332387}",124.12349685766334,26.05358661600621,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.10625,0.5,1.9201448541856707,"{0: 1.9201448541856707, 1: 0.7496727270048584}",124.73809249265982,32.60516697500134,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.1625,0.5,2.399724172368867,"{0: 2.399724172368867, 1: 0.7596579083535392}",125.24654096047624,30.760995463002477,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.21875,0.5,2.3913135166088377,"{0: 2.3913135166088377, 1: 0.7557477933203448}",124.99604445341105,27.171823475975543,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.275,0.5,2.1573768985433377,"{0: 2.1573768985433377, 1: 0.7461942861935894}",124.19005139230394,24.992229219991717,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.33125,0.5,2.1560574414067553,"{0: 2.1560574414067553, 1: 0.7596798800916474}",124.82940720132945,25.669789330044296,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.3875,0.5,2.047346582964195,"{0: 2.047346582964195, 1: 0.7487825955732241}",124.73125963826988,25.57352470298065,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.44375,0.5,2.5389597999783318,"{0: 2.5389597999783318, 1: 0.7608351424553974}",124.8175698183251,25.71443954796996,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.5,0.5,2.7635207672063253,"{0: 2.7635207672063253, 1: 0.752687933433016}",124.46568994646636,25.153875459975097,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.05,0.5,26.940974437238015,"{0: 26.940974437238015, 1: 0.7371843934376187}",123.18740640521162,28.74976868700469,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.10625,0.5,2.525230154434927,"{0: 2.525230154434927, 1: 0.7388141219988359}",123.39511169253448,27.39170088298852,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.1625,0.5,2.473198169206512,"{0: 2.473198169206512, 1: 0.7210928794015866}",122.42930156114886,27.300627430027816,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.21875,0.5,2.9333896230697514,"{0: 2.9333896230697514, 1: 0.7310062550503841}",123.48418908565256,27.72391504701227,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.275,0.5,2.466053845305272,"{0: 2.466053845305272, 1: 0.7206289633911903}",122.51441355492568,30.23962510400452,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.33125,0.5,2.252917912206417,"{0: 2.252917912206417, 1: 0.7299570095823441}",122.65368551114416,42.66968311200617,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.3875,0.5,2.3554951934587978,"{0: 2.3554951934587978, 1: 0.7297750182733123}",122.57721858610664,39.02026698197005,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.44375,0.5,2.121696329659339,"{0: 2.121696329659339, 1: 0.7163128861699853}",122.18077065190158,34.840549088025,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.5,0.5,2.2797111109918724,"{0: 2.2797111109918724, 1: 0.7265941576402226}",122.81901923438303,59.03286910598399,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.05,0.5,26.886742600088837,"{0: 26.886742600088837, 1: 0.7142305953524289}",121.24528135781274,60.9371594429831,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.10625,0.5,2.2532007111570205,"{0: 2.2532007111570205, 1: 0.703630884874624}",120.9338131736273,33.67984826496104,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.1625,0.5,2.4323877792505186,"{0: 2.4323877792505186, 1: 0.6919220212407666}",120.2937431190526,33.624219515011646,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.21875,0.5,2.5087234298633745,"{0: 2.5087234298633745, 1: 0.7047558500130152}",121.7559153925472,32.33883525204146,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.275,0.5,2.1873422061538204,"{0: 2.1873422061538204, 1: 0.6996143100914001}",120.8445054234594,30.69698442198569,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.33125,0.5,2.1475014322072066,"{0: 2.1475014322072066, 1: 0.6959418483674877}",120.53292972245464,31.44144521205453,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.3875,0.5,1.6532991483989656,"{0: 1.6532991483989656, 1: 0.7078703495703584}",121.59490845052996,31.219557803997304,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.44375,0.5,2.514490581584739,"{0: 2.514490581584739, 1: 0.7072326532284832}",120.6585124580965,32.57194467098452,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.5,0.5,2.69779770940598,"{0: 2.69779770940598, 1: 0.7064175648000596}",121.1044330711429,31.51627195504261,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
