k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime,alpha,beta
5,1.3875,0.5,1.2832114305078652,"{0: 1.252682185701928, 1: 1.2832114305078652}",159.5622286507152,10.452192440017823,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.44375,0.5,1.2841784960869098,"{0: 1.2511679576320214, 1: 1.2841784960869098}",159.57178508129968,10.288218338013394,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.5,0.5,1.2843409486579518,"{0: 1.2513090727985845, 1: 1.2843409486579518}",159.5813376418106,10.575396760017613,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.05,0.5,1.191083675160509,"{0: 1.191083675160509, 1: 1.143806372495138}",152.26667775199792,12.931248339999,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.10625,0.5,1.1909918004267575,"{0: 1.1909918004267575, 1: 1.1437919585457461}",152.26428291411233,12.765752201987198,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.1625,0.5,1.1789933100989867,"{0: 1.1346686205192107, 1: 1.1789933100989867}",152.59395113460434,12.18708752602106,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.21875,0.5,1.178836316798262,"{0: 1.1350341698825979, 1: 1.178836316798262}",152.595152959439,12.200844117003726,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.275,0.5,1.167556607077846,"{0: 1.1594762800136582, 1: 1.167556607077846}",152.6275584803953,12.166745099995753,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.33125,0.5,1.1787523141617653,"{0: 1.1351719575487815, 1: 1.1787523141617653}",152.5948334917118,12.332721468992531,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.3875,0.5,1.2863035386763726,"{0: 1.2863035386763726, 1: 1.243611776367039}",158.58991650680238,12.669175159011502,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.44375,0.5,1.5975664934202312,"{0: 1.1547010654965475, 1: 1.5975664934202312}",170.3759498539525,12.36386761799804,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.5,0.5,1.1827360586397049,"{0: 1.1827360586397049, 1: 1.1792484088465387}",153.64044284691093,12.176710441999605,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.05,0.5,1.0965135977912865,"{0: 1.0586615553511576, 1: 1.0965135977912865}",147.2347575159766,14.34559747899766,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.10625,0.5,1.0807714762345666,"{0: 1.0807714762345666, 1: 1.0630082365947815}",146.20165493033593,14.197673942020629,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
