k,pof,lambda_param,max_welfare_cost,fcbc_objective,runtime,group_0_cost,group_1_cost,group_0_distance_cost,group_1_distance_cost,group_0_avg_cost,group_1_avg_cost
8,1.275,0.0,0.00016876999999999357,141.14677030680664,18.93402748601511,0.00016876999999999357,0.0,2.011804495989648,1.982896999956411,412.125,837.875
8,1.33125,0.0,0.00014031999999999527,140.57330054872114,21.036080864985703,0.00014031999999999527,0.0,2.041253272913142,1.944307451608187,412.125,837.875
8,1.3875,0.0,6.151999999999989e-05,143.7964568897832,17.460848360002274,6.151999999999989e-05,0.0,2.186481665581342,2.009625860110094,412.125,837.875
8,1.44375,0.0,0.00013476999999999673,142.04007235790843,17.812514160992578,0.00013476999999999673,0.0,2.0249914096944335,2.014153395059014,412.125,837.875
8,1.5,0.0,0.00022605999999999362,140.55341145428747,18.45559462098754,0.00022605999999999362,0.0,2.039665088834247,1.944254439666931,412.125,837.875
9,1.05,0.0,0.00010392999999998383,137.02252016744598,19.470009564014617,0.00010392999999998383,0.0,1.9485438365465306,1.8428424705965891,366.3333333333333,744.7777777777778
9,1.10625,0.0,0.00023998999999999595,138.52659962937696,17.533562403987162,0.00023998999999999595,0.0,2.030818424181768,1.8642088501204725,366.3333333333333,744.7777777777778
9,1.1625,0.0,0.00019153999999998723,137.9029796160008,17.833155580970924,0.00019153999999998723,0.0,1.9480988275663957,1.8791771937008421,366.3333333333333,744.7777777777778
9,1.21875,0.0,0.00016701999999999212,137.02012436127671,18.03670603100909,0.00016701999999999212,0.0,1.948402206017518,1.842814388782197,366.3333333333333,744.7777777777778
9,1.275,0.0,0.00017551999999998908,138.29276112766578,18.040705990977585,0.00017551999999998908,0.0,1.9165237710976728,1.9107698361180783,366.3333333333333,744.7777777777778
9,1.33125,0.0,0.00012862999999999425,138.7937049457648,17.577744296984747,0.00012862999999999425,0.0,1.9930737248370205,1.893827110162672,366.3333333333333,744.7777777777778
9,1.3875,0.0,0.00014189999999999274,137.47530822668438,17.707761041005142,0.00014189999999999274,0.0,1.969945510360631,1.8508590090787786,366.3333333333333,744.7777777777778
9,1.44375,0.0,0.00014458999999998704,137.02188070241888,17.824941141007002,0.00014458999999998704,0.0,1.9478513676236315,1.8431569598938364,366.3333333333333,744.7777777777778
9,1.5,0.0,0.0001391799999999855,135.7105849451256,17.64396037097322,0.0001391799999999855,0.0,1.8983135156743471,1.8141639448042863,366.3333333333333,744.7777777777778
10,1.05,0.0,0.00025785999999998455,132.67265234845289,20.01627484400524,0.00025785999999998455,0.0,1.8395820184783724,1.7214028778204369,329.7,670.3
10,1.10625,0.0,0.00019302999999999085,134.38011151576126,20.139636365987823,0.00019302999999999085,0.0,1.8982320934671002,1.7605870450890135,329.7,670.3
10,1.1625,0.0,0.0001665599999999719,132.26622166046664,19.307034827012103,0.0001665599999999719,0.0,1.8128905825781494,1.718466680863172,329.7,670.3
10,1.21875,0.0,0.00011470999999999243,135.49721317814647,19.581021720019635,0.00011470999999999243,0.0,1.946937737049098,1.7816120293533007,329.7,670.3
10,1.275,0.0,0.00026059999999998557,132.2625191658502,19.975985682976894,0.00026059999999998557,0.0,1.8133352290074178,1.718101874619277,329.7,670.3
10,1.33125,0.0,0.0002125999999999908,134.07688224936908,19.35593760799384,0.0002125999999999908,0.0,1.8528439572723354,1.7707673806356536,329.7,670.3
10,1.3875,0.0,0.0003462099999999881,134.08865273307444,20.34398979501566,0.0003462099999999881,0.0,1.858082188788936,1.7686619914895298,329.7,670.3
10,1.44375,0.0,0.0002567999999999906,134.0657548783861,20.11482385295676,0.0002567999999999906,0.0,1.851140479988865,1.7711602795196177,329.7,670.3
10,1.5,0.0,0.00023312999999999307,132.32536606329128,19.674571649055,0.00023312999999999307,0.0,1.8229041419462542,1.7158743947793413,329.7,670.3
11,1.05,0.0,0.00018665999999999139,129.76053904625738,25.59891245997278,0.00018665999999999139,0.0,1.7701448295614155,1.6415313970605774,299.72727272727275,609.3636363636364
